Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG
Julián Álvarez,ar  ARG,"MF,FW",24-010,22,22,1854.0,20.6,8.0,5.0,13.0,7.0,1.0,1.0,2.0,0.0,8.4,7.6,5.0,12.7,39.0,69.0,115.0,0.39,0.24,0.63,0.34,0.58,0.41,0.24,0.65,0.37,0.62
Kyle Walker,eng  ENG,DF,33-258,21,21,1866.0,20.7,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.8,2.1,51.0,111.0,117.0,0.0,0.1,0.1,0.0,0.1,0.01,0.09,0.1,0.01,0.1
Ederson,br  BRA,GK,30-177,21,21,1807.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil Foden,eng  ENG,"FW,MF",23-258,22,20,1770.0,19.7,8.0,7.0,15.0,8.0,0.0,0.0,1.0,0.0,5.4,5.4,4.5,9.9,52.0,91.0,152.0,0.41,0.36,0.76,0.41,0.76,0.28,0.23,0.5,0.28,0.5
Rodri,es  ESP,MF,27-233,19,19,1626.0,18.1,5.0,3.0,8.0,5.0,0.0,0.0,7.0,1.0,2.6,2.6,1.8,4.4,48.0,197.0,32.0,0.28,0.17,0.44,0.28,0.44,0.15,0.1,0.24,0.15,0.24
Bernardo Silva,pt  POR,"MF,FW",29-184,18,17,1496.0,16.6,6.0,4.0,10.0,6.0,0.0,0.0,4.0,0.0,2.2,2.2,4.2,6.5,87.0,108.0,144.0,0.36,0.24,0.6,0.36,0.6,0.13,0.25,0.39,0.13,0.39
Rúben Dias,pt  POR,DF,26-272,18,16,1479.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.2,0.9,26.0,103.0,11.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.06,0.04,0.06
Joško Gvardiol,hr  CRO,DF,22-018,18,16,1473.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.9,1.8,39.0,80.0,70.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.11,0.06,0.11
Erling Haaland,no  NOR,FW,23-204,17,16,1398.0,15.5,14.0,5.0,19.0,11.0,3.0,4.0,1.0,0.0,15.7,12.5,3.5,16.0,14.0,11.0,60.0,0.9,0.32,1.22,0.71,1.03,1.01,0.23,1.23,0.8,1.03
Nathan Aké,nl  NED,DF,28-357,18,14,1277.0,14.2,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,1.1,2.6,18.0,70.0,9.0,0.14,0.07,0.21,0.14,0.21,0.11,0.08,0.18,0.11,0.18
Manuel Akanji,ch  SUI,"DF,MF",28-206,15,14,1260.0,14.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,0.6,0.6,0.2,0.8,20.0,65.0,15.0,0.14,0.0,0.14,0.14,0.14,0.04,0.01,0.06,0.04,0.06
Jeremy Doku,be  BEL,"FW,DF",21-259,14,11,885.0,9.8,2.0,5.0,7.0,2.0,0.0,0.0,3.0,0.0,1.1,1.1,2.9,4.0,113.0,29.0,153.0,0.2,0.51,0.71,0.2,0.71,0.11,0.3,0.41,0.11,0.41
Mateo Kovačić,hr  CRO,MF,29-280,17,9,864.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,1.0,1.7,22.0,57.0,25.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.18,0.08,0.18
Jack Grealish,eng  ENG,FW,28-153,13,7,703.0,7.8,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,1.9,1.9,2.0,3.9,52.0,28.0,87.0,0.38,0.13,0.51,0.38,0.51,0.24,0.25,0.49,0.24,0.49
John Stones,eng  ENG,"DF,MF",29-258,9,6,502.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,5.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Rico Lewis,eng  ENG,"MF,DF",19-081,10,5,454.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.8,6.0,12.0,17.0,0.2,0.0,0.2,0.2,0.2,0.06,0.09,0.15,0.06,0.15
Matheus Nunes,pt  POR,MF,25-167,9,4,387.0,4.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.9,1.3,13.0,16.0,34.0,0.0,0.47,0.47,0.0,0.47,0.08,0.22,0.3,0.08,0.3
Kevin De Bruyne,be  BEL,MF,32-227,4,3,204.0,2.3,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,2.1,2.5,5.0,18.0,22.0,0.44,1.32,1.76,0.44,1.76,0.18,0.9,1.08,0.18,1.08
Stefan Ortega,de  GER,GK,31-096,2,1,173.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oscar Bobb,no  NOR,"FW,MF",20-213,7,0,119.0,1.3,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,1.7,8.0,12.0,15.0,0.76,0.76,1.51,0.76,1.51,0.79,0.46,1.25,0.79,1.25
Kalvin Phillips,eng  ENG,MF,28-070,4,0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,7.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
Sergio Gómez,es  ESP,FW,23-159,3,0,20.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,3.0,1.0,2.0,0.0,4.5,4.5,0.0,4.5,0.0,0.85,0.85,0.0,0.85
Aymeric Laporte,es  ESP,DF,29-259,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27
Cole Palmer,eng  ENG,MF,21-280,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Mcatee,eng  ENG,MF,21-115,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
